Price List ID,Price List Name,Channel ID,Channel Name,Customer Group ID,Customer Group Name
1,Price List,1692461,Reading Eggs UK,0,
1,Price List,1692941,Reading Eggs USA,0,
1,Price List,1,Reading Eggs AU,0,
