Price List ID,Price List Name,Currency,SKU,Product ID,Variant ID,Price,Sale Price,Retail Price,Bulk Pricing
1,Price List,gbp,9781742155166,310,199,14.95,,14.95,
1,Price List,gbp,9781742155173,311,200,14.95,,14.95,
1,Price List,gbp,9781742155180,312,201,14.95,,14.95,
1,Price List,gbp,9781742155197,313,202,14.95,,14.95,
1,Price List,gbp,RE7995ACT1,314,203,15.8,11.85,15.8,
1,Price List,gbp,RE7995ACT2,315,204,15.8,11.85,15.8,
1,Price List,usd,RE7995PK1,316,205,110,79.95,110,
1,Price List,gbp,RE7995PK1,316,205,81.87,39.95,81.87,
1,Price List,aud,RE7995PK1,316,205,134.55,86,134.55,
1,Price List,cad,RE7995PK1,316,205,149.95,109.95,149.95,
1,Price List,gbp,RE7995FLASH,317,206,13.9,10.43,13.9,
1,Price List,gbp,9781925243628,318,207,3.2,,3.2,
1,Price List,gbp,RE7995ACTMBP1,319,208,13.9,10.43,13.9,
1,Price List,gbp,RE7995ACTMBP2,320,209,13.9,10.43,13.9,
1,Price List,gbp,9781925243635,321,210,3.2,,3.2,
1,Price List,gbp,9781925243642,322,211,3.2,,3.2,
1,Price List,gbp,RE7995ACTMBP3,323,212,13.9,10.43,13.9,
1,Price List,gbp,RE7995BATH,324,213,10.8,8.1,10.8,
1,Price List,gbp,RE7995ACTMBP4,325,214,13.9,10.43,13.9,
1,Price List,gbp,RE7995WATER,326,215,12.8,9.6,12.8,
1,Price List,gbp,RE7995ACTMBP5,327,216,13.9,10.43,13.9,
1,Price List,gbp,RE7995ACTMBP6,328,217,13.9,10.43,13.9,
1,Price List,gbp,RE7995MBP1,329,218,39.8,29.85,39.8,
1,Price List,gbp,RE7995ACTMBP7,330,219,13.9,10.43,13.9,
1,Price List,gbp,RE7995MBP2,331,220,39.8,29.85,39.8,
1,Price List,gbp,RE7995ACTMBP8,332,221,13.9,10.43,13.9,
1,Price List,gbp,RE7995MBP3,333,222,79.6,55.72,79.6,
1,Price List,gbp,9781925243666,334,223,3.6,,3.6,
1,Price List,gbp,9781742155067,335,224,9.95,4.5,9.95,
1,Price List,gbp,9781925243673,336,225,3.6,,3.6,
1,Price List,gbp,9781922887498,337,226,9.95,4.5,9.95,
1,Price List,gbp,9781925243680,338,227,3.6,2.7,3.6,
1,Price List,gbp,REWBRWBBR,339,228,29.9,24.9,29.9,
1,Price List,gbp,9781925243697,340,229,2.6,,2.6,
1,Price List,gbp,REWBRWBBY1,341,230,29.9,24.9,29.9,
1,Price List,gbp,9781925243703,342,231,2.6,,2.6,
1,Price List,gbp,REWBRWBBY2,343,232,29.9,24.9,29.9,
1,Price List,gbp,9781925243611,344,233,3.2,,3.2,
1,Price List,gbp,RE7995RWBUK,345,234,29.9,24.9,29.9,
1,Price List,usd,140READEGG,346,235,197.1,149.95,197.1,
1,Price List,cad,140READEGG,346,235,269.95,199.95,269.95,
1,Price List,usd,REWBRWBBG1,347,236,73.89,,73.89,
1,Price List,cad,REWBRWBBG1,347,236,79.9,,79.9,
1,Price List,usd,REWBRWBBG2,348,237,73.89,,73.89,
1,Price List,cad,REWBRWBBG2,348,237,79.9,,79.9,
1,Price List,usd,9781742153421,349,238,29.95,,29.95,
1,Price List,cad,9781742153421,349,238,39.95,,39.95,
1,Price List,usd,REWBRWBBG3,350,239,73.89,,7,
1,Price List,cad,REWBRWBBG3,350,239,79.9,69.9,79.9,
1,Price List,usd,9781742153438,351,240,29.95,,29.95,
1,Price List,cad,9781742153438,351,240,39.95,,39.95,
1,Price List,usd,REWBRWBBG4,352,241,73.89,,73.89,
1,Price List,cad,REWBRWBBG4,352,241,79.9,69.9,79.9,
1,Price List,usd,9781742153490,353,242,29.95,,29.95,
1,Price List,cad,9781742153490,353,242,39.95,,39.95,
1,Price List,usd,9781742153506,354,243,29.95,,29.95,
1,Price List,cad,9781742153506,354,243,39.95,,39.95,
1,Price List,usd,9781742153513,355,244,29.95,,29.95,
1,Price List,cad,9781742153513,355,244,39.95,,39.95,
1,Price List,usd,9781742153384,356,245,29.95,,29.95,
1,Price List,cad,9781742153384,356,245,39.95,,39.95,
1,Price List,usd,9781742153391,357,246,29.95,,29.95,
1,Price List,cad,9781742153391,357,246,39.95,,39.95,
1,Price List,usd,9781742153407,358,247,29.95,,29.95,
1,Price List,cad,9781742153407,358,247,39.95,,39.95,
1,Price List,usd,RE7995SET1,359,248,27.8,20.85,27.8,
1,Price List,usd,RE7995SET2,360,249,27.8,20.85,27.8,
1,Price List,aud,RMK,361,250,0,,,
1,Price List,usd,RMK,361,250,59.9,49.9,59.9,
1,Price List,cad,RMK,361,250,79.9,69.9,79.9,
1,Price List,usd,RM1,362,251,59.9,49.9,59.9,
1,Price List,cad,RM1,362,251,79.9,69.9,79.9,
1,Price List,usd,RM2,363,252,59.9,49.9,59.9,
1,Price List,cad,RM2,363,252,79.9,69.9,79.9,
1,Price List,usd,REWBRWBBK,364,253,73.89,,73.89,
1,Price List,cad,REWBRWBBK,364,253,79.9,69.9,79.9,
1,Price List,usd,9781742153414,365,254,29.95,,29.95,
1,Price List,aud,9781742153414,365,254,19.95,,19.95,
1,Price List,cad,9781742153414,365,254,39.95,,39.95,
1,Price List,usd,9781922887481,366,255,13.99,6.95,13.99,
1,Price List,cad,9781922887481,366,255,19.95,9.95,19.95,
1,Price List,gbp,REMS12MTHSUB,369,258,79.99,,79.99,
1,Price List,gbp,REMS12MTHGVUK,370,259,79.99,,79.99,
1,Price List,usd,COM12MTHUS,371,260,99.99,,99.99,
1,Price List,cad,COM12MTHUS,371,260,99.99,,99.99,
1,Price List,aud,9781742153100,372,261,9.95,,9.95,
1,Price List,gbp,RE7995YR1WBUK,374,263,29.9,24.9,29.9,
1,Price List,gbp,RE7995YR2WBUK,378,267,29.9,24.9,29.9,
1,Price List,usd,RM3,379,268,59.9,,59.9,
1,Price List,cad,RM3,379,268,79.9,69.9,79.9,
1,Price List,usd,RM4,380,269,59.9,,59.9,
1,Price List,cad,RM4,380,269,79.9,69.9,79.9,
1,Price List,usd,COM12MTHUSGV,381,270,99.99,,99.99,
1,Price List,cad,COM12MTHUSGV,381,270,99.99,,99.99,
1,Price List,usd,9781742153414-1,382,271,29.95,,29.95,
1,Price List,cad,9781742153414-1,382,271,39.95,,39.95,
1,Price List,usd,9781742153513-1,383,272,29.95,,29.95,
1,Price List,cad,9781742153513-1,383,272,39.95,,39.95,
1,Price List,usd,9781742153506-1,384,273,29.95,,29.95,
1,Price List,cad,9781742153506-1,384,273,39.95,,39.95,
1,Price List,usd,9781742153490-1,385,274,29.95,,29.95,
1,Price List,cad,9781742153490-1,385,274,39.95,,39.95,
1,Price List,usd,9781742153438-1,386,275,29.95,,29.95,
1,Price List,cad,9781742153438-1,386,275,39.95,,39.95,
1,Price List,usd,9781742153421-1,387,276,29.95,,29.95,
1,Price List,cad,9781742153421-1,387,276,39.95,,39.5,
1,Price List,usd,9781742153407-1,388,277,29.95,,29.95,
1,Price List,cad,9781742153407-1,388,277,39.95,,39.95,
1,Price List,usd,9781742153391-1,389,278,29.95,,29.95,
1,Price List,cad,9781742153391-1,389,278,39.95,,39.95,
1,Price List,usd,9781742153384-1,390,279,29.95,,29.95,
1,Price List,cad,9781742153384-1,390,279,39.95,,39.95,
1,Price List,usd,REHSMAX12MUS,391,280,299,,299,
1,Price List,cad,REHSMAX12MUS,391,280,299,,299,
1,Price List,usd,MS12MTHUS,392,281,49.99,,49.99,
1,Price List,cad,MS12MTHUS,392,281,49.99,,49.99,
1,Price List,usd,RE12MTHUS,393,282,69.99,,69.99,
1,Price List,cad,RE12MTHUS,393,282,69.99,,69.99,
1,Price List,usd,140READEGG-E,394,283,197.1,149.95,197.1,
1,Price List,cad,140READEGG-E,394,283,269.95,199.95,269.95,
1,Price List,usd,RE7995PK1-E,395,284,110,79.95,110,
1,Price List,cad,RE7995PK1-E,395,284,149.95,109.95,149.95,
1,Price List,usd,RMK-E,396,285,59.9,,59.9,
1,Price List,cad,RMK-E,396,285,79.9,,79.9,
1,Price List,usd,RM1-E,397,286,59.9,,59.9,
1,Price List,cad,RM1-E,397,286,79.9,,79.9,
1,Price List,usd,RM2-E,398,287,59.9,,59.9,
1,Price List,cad,RM2-E,398,287,79.9,,79.9,
1,Price List,usd,RM3-E,399,288,59.9,,59.9,
1,Price List,cad,RM3-E,399,288,79.9,,79.9,
1,Price List,usd,RM4-E,400,289,59.9,,59.9,
1,Price List,cad,RM4-E,400,289,79.9,,79.9,
1,Price List,usd,RE7995PK2-E,401,290,110,79.95,110,
1,Price List,cad,RE7995PK2-E,401,290,149.95,109.95,149.95,
1,Price List,usd,9781923253162,402,291,29.95,,29.95,
1,Price List,cad,9781923253162,402,291,39.95,,39.95,
1,Price List,aud,9781923253148,403,292,29.95,,29.95,
1,Price List,gbp,9781923253155,404,293,14.95,,14.95,
1,Price List,usd,REHSMAX24MUS,405,294,598,,598,
1,Price List,cad,REHSMAX24MUS,405,294,598,,598,
1,Price List,usd,RE24MTHUS,406,295,139.98,,139.98,
1,Price List,cad,RE24MTHUS,406,295,139.98,,139.98,
1,Price List,usd,MS24MTHUS,407,296,99.98,,99.98,
1,Price List,cad,MS24MTHUS,407,296,99.98,,99.98,
1,Price List,usd,COM24MTHUS,408,297,199.98,,199.98,
1,Price List,cad,COM24MTHUS,408,297,199.98,,199.98,
1,Price List,usd,REWBK5-E,409,298,179.7,,179.7,
1,Price List,cad,REWBK5-E,409,298,239.7,,239.7,
1,Price List,usd,MSWBK3-E,410,299,119.8,,119.8,
1,Price List,cad,MSWBK3-E,410,299,159.8,,159.8,
1,Price List,cad,REMSWBK5-E,411,300,399.5,,399.5,
1,Price List,usd,REMSWBK5-E,411,300,299.5,,299.5,
1,Price List,usd,REMSULTBKB-E,412,301,376.8,329.65,376.8,
1,Price List,cad,REMSULTBKB-E,412,301,509.65,439.65,509.65,
1,Price List,usd,RM5,413,302,59.9,49.9,59.9,
1,Price List,cad,RM5,413,302,79.9,69.9,79.9,
1,Price List,usd,RM5-E,414,303,59.9,,59.9,
1,Price List,cad,RM5-E,414,303,79.9,,79.9,
1,Price List,usd,REMSWBK5,415,304,299.5,224.63,299.5,
1,Price List,cad,REMSWBK5,415,304,399.5,299,399.5,
1,Price List,usd,REMSULTBKB,416,305,376.8,329.65,376.8,
1,Price List,cad,REMSULTBKB,416,305,509.65,439.65,509.65,
1,Price List,usd,MSWBK3,417,306,119.8,99.8,119.8,
1,Price List,cad,MSWBK3,417,306,159.8,134.95,159.8,
1,Price List,usd,REWBK5,418,307,179.7,143.92,179.7,
1,Price List,cad,REWBK5,418,307,239.7,189.95,239.7,
1,Price List,aud,ABCREMS24MTHSUB,419,308,299.98,,299.98,
1,Price List,nzd,ABCREMS24MTHSUB,419,308,262.7,,262.7,
1,Price List,gbp,REMS24MTHSUB,420,309,159.98,,159.98,
1,Price List,cad,9781923253285,421,310,19.95,,19.95,
1,Price List,usd,9781923253285,421,310,14.95,,14.95,
1,Price List,cad,9781923253292,422,311,19.95,,19.95,
1,Price List,usd,9781923253292,422,311,14.95,,14.95,
1,Price List,cad,9781923253308,423,312,19.95,,19.95,
1,Price List,usd,9781923253308,423,312,14.95,,14.95,
1,Price List,cad,9781923253315,424,313,19.95,,19.95,
1,Price List,usd,9781923253315,424,313,14.95,,14.95,
1,Price List,cad,9781923253322,425,314,9.95,,9.95,
1,Price List,usd,9781923253322,425,314,6.95,,6.95,
1,Price List,cad,9781923253339,426,315,9.95,,9.95,
1,Price List,usd,9781923253339,426,315,6.95,,6.95,
1,Price List,cad,9781923253346,427,316,9.95,,9.95,
1,Price List,usd,9781923253346,427,316,6.95,,6.95,
1,Price List,cad,9781923253353,428,317,9.95,,9.95,
1,Price List,usd,9781923253353,428,317,6.95,,6.95,
1,Price List,cad,9781923253360,429,318,14.95,,14.95,
1,Price List,usd,9781923253360,429,318,10.95,,10.95,
1,Price List,cad,9781923253377,430,319,19.95,,19.95,
1,Price List,usd,9781923253377,430,319,14.95,,14.95,
1,Price List,cad,9781923253384,431,320,19.95,,19.95,
1,Price List,usd,9781923253384,431,320,14.95,,14.95,
1,Price List,cad,9781923253391,432,321,19.95,,19.95,
1,Price List,usd,9781923253391,432,321,14.95,,14.95,
1,Price List,cad,9781923253407,433,322,19.95,,19.95,
1,Price List,usd,9781923253407,433,322,14.95,,14.95,
1,Price List,cad,9781923253414,434,323,9.95,,9.95,
1,Price List,usd,9781923253414,434,323,6.95,,6.95,
1,Price List,cad,9781923253421,435,324,9.95,,9.95,
1,Price List,usd,9781923253421,435,324,6.95,,6.95,
1,Price List,cad,9781923253438,436,325,9.95,,9.95,
1,Price List,usd,9781923253438,436,325,6.95,,6.95,
1,Price List,cad,9781923253445,437,326,9.95,,9.95,
1,Price List,usd,9781923253445,437,326,6.95,,6.95,
1,Price List,cad,9781923253452,438,327,14.95,,14.95,
1,Price List,usd,9781923253452,438,327,10.95,,10,
1,Price List,usd,9781923253162-1,440,329,29.95,,29.95,
1,Price List,cad,9781923253162-1,440,329,39.95,,39.95,
1,Price List,usd,RE7995ACT3-US,447,336,55.6,41.7,55.6,
1,Price List,cad,RE7995ACT3-US,447,336,79.6,59.7,79.6,
1,Price List,usd,RE7995PK2-US,448,337,110,79.95,110,
1,Price List,cad,RE7995PK2-US,448,337,149.95,109.95,149.95,
1,Price List,usd,RE7995PK1-US,449,338,110,79.95,110,
1,Price List,cad,RE7995PK1-US,449,338,149.95,109.95,149.95,
1,Price List,usd,COM12MTHUSRMK-E,450,339,159.8,,159.8,
1,Price List,usd,REHSMAX12MUSRMK,451,340,372.99,,372.99,
