Product ID,Product Name,SKU,Type,Brand ID,Condition,Price,Sale Price,Cost Price,Retail Price,Calculated Price,Total Sold,View Count,Inventory Level,Inventory Warning Level,Is Visible,Availability,Weight,Categories,Category IDs,Is Featured,Custom Fields,In AU Storefront,In UK Storefront,In USA Storefront,Assigned Channel IDs,Variant Count,Variant SKUs,Min Variant Price,Max Variant Price,Page Title,Meta Description,Custom URL,Primary Image,Date Created,Date Modified
142,ABC Reading Eggs Level 1 and ABC Mathseeds Mega Book Pack (Ages 3–6),ABCREADMATH30,physical,38,New,0,,,,,252,0,100,25,True,available,2,"Reading,Maths,All Products,By Age,Book Packs,Activity Books,Preschool,Kindergarten,Primary,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Education Gifts for 3 Year Olds,Activity Book Sets,Mini Book Packs,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,31,34,50,51,52,53,54,55,59,61,62,63,143,154,175,177,182",True,"Bundle: true | Bundle Original Price: AUD_211.20|NZD_232.95 | Inventory: {au:0} | Short Description: Give your child the perfect start with the ABC Reading Eggs Level 1 and Mathseeds Activity Book Packs! Eight fun workbooks, 40 readers, posters, flashcards and 200+ stickers build early reading, phonics and maths skills while boosting confidence.",Y,N,N,"1,1823086,1835881",1,ABCREADMATH30,,,ABC Reading Eggs Level 1 and ABC Mathseeds Mega Book Pack (Ages 3–6),ABC Reading Eggs Book Pack Level 1 contains all the level 1 books and matches the first 40 lessons of Reading Eggs. The ABC Mathseeds Book Pack contains activity books matching the first 40 lessons of Mathseeds.,/abc-reading-eggs-level-1-and-abc-mathseeds-mega-book-pack/,https://cdn11.bigcommerce.com/s-sojvds60em/products/142/images/2493/ABCREADMATH30-reading-maths-activity-books-flashcards-mega-pack_1__67107.1750126811.220.290.jpg?c=1,22/01/2025,14/05/2026
144,Reading & Maths Essential Skills for Kindergarten Bundle,RE7995RWB,physical,38,New,0,,,,,1420,0,843,100,True,available,2,"Reading,Maths,All Products,By Age,Book Packs,Homeschool,Activity Books,Preschool,Kindergarten,Primary,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Workbook Bundles,Brands,ABC Reading Eggs,ABC Mathseeds,Essential Skills,My First,Activity Books,Workbooks,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,31,33,34,50,51,52,53,54,55,59,64,65,70,76,77,78,79,88,143,154,175,177,182",True,"Bundle: true | Inventory: {au:188,uk:467} | Short Description: Build essential skills with the ABC Reading Eggs & Mathseeds Kindergarten Workbooks! Fun, full-color lessons cover phonics, handwriting, numbers, shapes, patterns and more, helping kids boost reading and math confidence in just 15 minutes a day.",Y,N,N,"1,1823086,1835881",1,RE7995RWB,,,Reading & Maths Essential Skills for Kindergarten Bundle ,"The Kindergarten Essential Reading Skills program (Australian curriculum) builds skills in phonics, phonological awareness, handwriting and reading comprehension, as well as high-frequency sight words.  With 60 easy-to-follow, self-paced lessons, this book covers 240 essential skills your child needs to achieve reading success. The Kindergarten Essential Maths Skills workbook contains 50 easy-to-achieve lessons that cover 200 essential skills your child needs to excel in Kindergarten maths. Get yours today.",/reading-maths-essential-skills-for-kindergarten-bundle/,https://cdn11.bigcommerce.com/s-sojvds60em/products/144/images/565/RE7995RWB-kindergarten-reading-maths-workbooks-bundle_1_LR__26304.1737678086.220.290.jpg?c=1,22/01/2025,14/05/2026
146,Reading & Maths Essential Skills for Year 1 Bundle,RE7995YR1WB,physical,38,New,0,,,,,1310,0,763,0,True,available,2,"Reading,Maths,All Products,By Age,Book Packs,Homeschool,Activity Books,Primary,Primary,Workbook Bundles,Workbooks,Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,31,33,34,52,55,64,88,154,175,177,182",True,"Bundle: true | Inventory: {au:546,uk:291} | Short Description: Boost skills with the ABC Reading Eggs & Mathseeds Year 1 Workbooks! Fun, full-color lessons build phonics, handwriting, numbers, shapes, operations and more. Support learning at home and grow confidence in just 15 minutes a day.",Y,N,N,"1,1823086,1835881",1,RE7995YR1WB,,,Reading & Maths Essential Skills for Year 1 Bundle,"The Year 1 Essential Reading Skills program (Australian curriculum) builds skills in phonics, phonological awareness, handwriting and reading comprehension, as well as high-frequency sight words.Help improve your child's skills in numbers, addition, subtraction, fractions, geometry, measurement and problem solving with this easy step-by-step workbook. Let's make learning maths easy!",/reading-maths-essential-skills-for-year-1-bundle/,https://cdn11.bigcommerce.com/s-sojvds60em/products/146/images/757/RE7995YR1WB-year-1-reading-maths-workbooks-bundle_1_03_LR__29233.1739329531.220.290.jpg?c=1,22/01/2025,14/05/2026
148,Reading & Maths Essential Skills for Year 2 Bundle,RE7995YR2WB,physical,38,New,0,,,,,993,0,905,0,True,available,2,"Reading,Maths,All Products,By Age,Book Packs,Homeschool,Activity Books,Primary,Primary,Workbook Bundles,Workbooks,Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,31,33,34,52,55,64,88,154,175,177,182",True,"Bundle: true | Inventory: {au:420,uk:1042} | Short Description: Boost your child’s confidence with Year 2 Reading & Math Workbooks. Fun, curriculum-aligned lessons build 200+ essential skills and make learning easy and enjoyable at home.",Y,N,N,"1,1823086,1835881",1,RE7995YR2WB,,,Reading & Maths Essential Skills for Year 2 Bundle,"The Year 2 Essential Skills program provides a rigorous 36-week curriculum with easy-to-follow comprehension, spelling and grammar lessons.  The Year 2 Essential Maths Skills program (Australian curriculum) provides fun step-by-step lessons to improve skills in numbers, addition, subtraction, fractions, geometry, measurement and problem solving! Get your copy today!",/reading-maths-essential-skills-for-year-2-bundle/,https://cdn11.bigcommerce.com/s-sojvds60em/products/148/images/746/RE7995YR2WB-year-2-reading-maths-workbooks-bundle_1_02_LR__34808.1738032924.220.290.jpg?c=1,22/01/2025,14/05/2026
150,ABC Mathseeds 12 Month Subscription,ABCMS12MTH,digital,40,New,119.99,79.99,,79.99,79.99,0,0,0,0,False,available,0,"Maths,All Products,By Age,ABC Mathseeds,Best Sellers,Gift Shop,Sale","25,29,30,76,175,177,182",False,"Inventory: {sb:0,us:0}",Y,N,N,"1,1823086,1835881",1,ABCMS12MTH,119.99,119.99,ABC Mathseeds 12 Month Subscription | Reading Eggs Shop,Subscribe your child to 12 months of learning with ABC Mathseeds - the multi-award winning online maths program for kids aged 3–9.,/abc-mathseeds-12-month-subscription/,,22/01/2025,14/05/2026
151,ABC Reading Eggs Ultimate Rewards Book,9781922887474,physical,38,New,19.99,9.95,,19.99,9.95,5619,0,1701,0,True,available,0.34,"Reading,Maths,All Products,By Age,Activity Books,Preschool,Kindergarten,Primary,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Education Gifts for 3 Year Olds,Sticker Books,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,34,50,51,52,53,54,55,59,61,84,143,154,175,177,182",True,"Inventory: {au:7966,uk:100,us:0,sb:30} | Short Description: Track and celebrate progress with the ABC Ultimate Rewards Book! Over 200 stickers, fun activities, and a free height chart keep kids motivated, build confidence, and make learning milestones easy to celebrate at home.",Y,N,N,"1,1823086,1835881",1,9781922887474,19.99,19.99,ABC Reading Eggs Rewards Sticker Book | Reading Eggs Shop,The ABC Reading Eggs Rewards Sticker Book is a wonderful way to reward children for their progress in the ABC Reading Eggs program. ,/reading-eggs-ultimate-rewards-book/,https://cdn11.bigcommerce.com/s-sojvds60em/products/151/images/2163/9781922887474-kids-stickers-activity-book-reading-eggs-rewards_AU_2__29834.1743728976.220.290.png?c=1,22/01/2025,15/05/2026
156,Reading & Maths Essential Skills for Kindergarten Family Bundle + FREE Ultimate Rewards Book,RE7995RWBURB,physical,38,New,0,,,,,3,0,863,0,False,available,2,"Reading,Maths,All Products,By Age,Book Packs,Homeschool,Kindergarten,Primary,Kindergarten,Primary,Workbook Bundles,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,31,33,51,52,54,55,64,143,154,175,177,182",False,"Bundle: true | Inventory: { au: 100, uk: 100, us: 1500 }",Y,N,N,"1,1823086,1835881",1,RE7995RWBURB,,,Reading & Maths Essential Skills for Kindergarten Bundle ,"The Kindergarten Essential Reading Skills program (Australian curriculum) builds skills in phonics, phonological awareness, handwriting and reading comprehension, as well as high-frequency sight words.  With 60 easy-to-follow, self-paced lessons, this book covers 240 essential skills your child needs to achieve reading success. The Kindergarten Essential Maths Skills workbook contains 50 easy-to-achieve lessons that cover 200 essential skills your child needs to excel in Kindergarten maths. Get yours today.",/reading-maths-essential-skills-for-kindergarten-bundle-free-ultimate-rewards-book/,https://cdn11.bigcommerce.com/s-sojvds60em/products/156/images/792/RMKURB_1_005_LR__15577.1738036088.220.290.jpg?c=1,22/01/2025,17/03/2025
158,Reading & Maths Essential Skills for Year 1 Family Bundle + FREE Ultimate Rewards Book,RE7995YR1WBURB,physical,38,New,0,,,,,0,0,778,0,False,available,2,"Reading,Maths,All Products,By Age,Book Packs,Homeschool,Activity Books,Primary,Primary,Workbook Bundles,Workbooks,Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,31,33,34,52,55,64,88,154,175,177,182",False,Bundle: true,Y,N,N,"1,1823086,1835881",1,RE7995YR1WBURB,,,Reading & Maths Essential Skills for Year 1 Bundle,"The Year 1 Essential Reading Skills program (Australian curriculum) builds skills in phonics, phonological awareness, handwriting and reading comprehension, as well as high-frequency sight words.Help improve your child's skills in numbers, addition, subtraction, fractions, geometry, measurement and problem solving with this easy step-by-step workbook. Let's make learning maths easy!",/reading-maths-essential-skills-for-year-1-bundle-free-ultimate-rewards-book/,https://cdn11.bigcommerce.com/s-sojvds60em/products/158/images/763/RE7995YR1WBURB-year-1-reading-maths-workbooks-rewards-bundle_1_AU_LR__86868.1738035141.220.290.jpg?c=1,22/01/2025,17/03/2025
159,Reading Eggs Activity Book Education Bundle – 8 Books (Ages 4–7),RE7995ACT3,physical,38,New,0,,,,,390,0,0,0,True,available,1.44,"Reading,28,All Products,By Age,Book Packs,Activity Books,35,37,38,39,42,43,45,46,47,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Education Gifts for 3 Year Olds,Activity Book Sets,89,90,91,100,110,111,112,118,125,138,139,Kindergarten (Ages 5–6),Primary (Ages 5–13),155,156,157,158,159,Best Sellers,Gift Shop,178,179,181,Sale,183,184","24,28,29,30,31,34,35,37,38,39,42,43,45,46,47,50,51,52,59,61,62,89,90,91,100,110,111,112,118,125,138,139,143,154,155,156,157,158,159,175,177,178,179,181,182,183,184",False,"Bundle: true | Inventory: {us:0,uk:564,sb:0} | Vimeo Video Id: 1087648586 | Short Description: Boost your child’s reading skills with this engaging book bundle! Fun activities build phonics, handwriting, spelling, and sight word confidence—perfect for ages 4–7.",Y,Y,N,"1,1692461,1835881,1837898",1,RE7995ACT3,,,Reading Eggs Activity Book Education Bundle – 8 Books (Ages 4–7),These 8 fun-filled activity books will help your child to become proficient in reading and writing. The Reading Eggs Activity Book Bundle will help your child to read and write as well as improve and extend those skills. The Book Bundle matches the first 80 lessons of the Reading Eggs program.,/reading-eggs-activity-book-education-bundle-8-books/,https://cdn11.bigcommerce.com/s-sojvds60em/products/159/images/842/RE7995ACT3-learn-to-read-activity-books-mega-bundle_1_LR__99359.1738540569.220.290.jpg?c=1,22/01/2025,15/05/2026
164,My First Reading and Maths Activity Book Pack (Ages 4–7),GETREADYPACK3,physical,38,New,0,,,,,397,0,1041,20,True,available,1,"Reading,Maths,All Products,By Age,Book Packs,Activity Books,Preschool,Kindergarten,Primary,Preschool,Kindergarten,Primary,Activity Book Sets,Best Sellers,Gift Shop,Sale","24,25,29,30,31,34,50,51,52,53,54,55,62,175,177,182",True,"Bundle: true | Inventory: {au:0} | Vimeo Video Id: 1087646738 | Short Description: Give your child a strong start with the My First Reading & Math Pack! 8 colourful workbooks build phonics, handwriting, numbers & more—boosting skills and confidence at home, ages 4–7.",Y,N,N,"1,1823086,1835881",1,GETREADYPACK3,,,My First Reading and Maths Activity Book Pack (Ages 4–7),"The ABC Reading Eggs and ABC Mathseeds My First activity book pack focuses on key reading, literacy and maths skills that children need to succeed in school. Suitable for ages 4–7.",/abc-reading-eggs-and-abc-mathseeds-my-first-combined-book-pack/,https://cdn11.bigcommerce.com/s-sojvds60em/products/164/images/813/GETREADYPACK3-reading-maths-activity-book-set-preschool-kindergarten_1_LR__30361.1738536788.220.290.jpg?c=1,22/01/2025,14/05/2026
